,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release_Date,MPAA Rating,Running Time (min),Distributor,Source,Type,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
702,Predator,59735548,98267558,NA,18000000,12-Jun-87,NA,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,John McTiernan,76,7.8,88522
703,The Princess Bride,30857000,30857000,NA,15000000,25-Sep-87,NA,NA,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Rob Reiner,95,8.1,123571
704,Prison,354704,354704,NA,4000000,4-Mar-88,NA,NA,Empire Pictures,Original Screenplay,Horror,NA,Renny Harlin,NA,5.8,1154
705,L_on,19284974,45284974,NA,16000000,18-Nov-94,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,NA,8.6,199762
706,Prophecy,21000000,21000000,NA,12000000,15-Jun-79,NA,NA,NA,NA,NA,NA,John Frankenheimer,25,4.7,1381
707,The Prince of Tides,74787599,74787599,NA,30000000,25-Dec-91,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Contemporary Fiction,Barbra Streisand,74,6.4,6829
708,Pretty Woman,178406268,463400000,NA,14000000,23-Mar-90,NA,NA,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62,6.7,60742
709,The Postman Always Rings Twice,12200000,44200000,NA,12000000,20-Mar-81,NA,NA,NA,NA,NA,NA,Bob Rafelson,70,6.4,6886
710,Peggy Sue Got Married,41382841,41382841,NA,18000000,10-Oct-86,NA,NA,Sony/TriStar,Original Screenplay,Comedy,Fantasy,Francis Ford Coppola,88,6.3,12457
711,Peter Pan,87400000,87400000,90536550,4000000,5-Feb-53,PG,NA,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,NA,83,7.1,16894
712,Pet Sematary,57469179,57469179,NA,11500000,21-Apr-89,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,50,6.3,19257
713,Patton,62500000,62500000,NA,12000000,1-Jan-70,NA,NA,NA,NA,NA,NA,Franklin J. Schaffner,97,8.1,39570
714,The Puffy Chair,194523,194523,NA,15000,2-Jun-06,R,NA,IDP/Goldwyn/Roadside,NA,NA,NA,NA,NA,6.4,1701
715,Pulp Fiction,107928762,212928762,NA,8000000,14-Oct-94,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94,8.9,417703
716,Paint Your Wagon,31678778,31678778,NA,20000000,15-Oct-69,PG-13,NA,Paramount Pictures,Based on Play,Musical,Historical Fiction,NA,23,6.5,5037
717,The Prisoner of Zenda,7000000,7000000,NA,12500000,25-May-79,NA,NA,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,NA,4.6,406
718,The Perez Family,2794056,2794056,NA,11000000,12-May-95,R,NA,Goldwyn Entertainment,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,67,6,1177
719,Q,255000,255000,NA,1200000,19-Nov-82,NA,NA,United Film Distribution Co.,Original Screenplay,Horror,Fantasy,NA,NA,6.1,1899
720,The Quick and the Dead,18552460,18552460,NA,32000000,10-Feb-95,R,NA,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56,6.3,27352
721,Quigley Down Under,21413105,21413105,NA,20000000,19-Oct-90,NA,NA,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60,6.5,6001
722,La Guerre du feu,20959585,20959585,NA,12500000,12-Feb-82,NA,NA,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Jean-Jacques Annaud,NA,7.4,6198
723,Quo Vadis?,30000000,30000000,NA,8250000,23-Feb-51,NA,NA,NA,NA,NA,NA,NA,88,5.8,898
724,Rang De Basanti,2197694,29197694,NA,5300000,27-Jan-06,Not Rated,NA,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,NA,NA,8.1,12116
725,Robin and Marian,8000000,8000000,NA,5000000,11-Mar-76,NA,NA,NA,NA,NA,NA,NA,68,6.5,4800
726,Ransom,136492681,308700000,NA,70000000,8-Nov-96,R,121,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524
727,Rosemary's Baby,33395426,33395426,NA,3200000,12-Jun-68,NA,NA,NA,NA,NA,NA,Roman Polanski,98,8.1,50860
728,Rebecca,6000000,6000000,NA,1288000,1940,NA,NA,MGM,Based on Book/Short Story,Drama,NA,Alfred Hitchcock,100,8.4,35429
729,Robin Hood: Prince of Thieves,165493908,390500000,NA,50000000,14-Jun-91,PG-13,NA,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56,6.7,54480
730,Rumble in the Bronx,32281907,36238752,NA,7500000,23-Feb-96,R,100,New Line,Original Screenplay,Action,Contemporary Fiction,NA,NA,NA,NA
731,Rob Roy,31390587,31390587,NA,28000000,7-Apr-95,R,NA,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,71,6.8,15630
732,Raging Bull,23380203,23380203,NA,18000000,14-Nov-80,Not Rated,NA,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98,8.4,90015
733,Richard III,2684904,4204857,NA,9200000,29-Dec-95,R,NA,MGM,Based on Play,Drama,Historical Fiction,NA,95,7.5,6625
734,Raising Cain,21171695,21171695,NA,11000000,7-Aug-92,NA,NA,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53,5.7,5135
735,RoboCop,53424681,53424681,NA,13000000,17-Jul-87,NA,NA,Orion Pictures,Original Screenplay,Action,Science Fiction,Paul Verhoeven,88,7.6,52898
736,RoboCop 3,10696210,10696210,NA,22000000,5-Nov-93,NA,NA,Orion Pictures,Original Screenplay,Action,Science Fiction,NA,NA,3.4,13310
737,Ri¢hie Ri¢h,38087756,38087756,NA,40000000,21-Dec-94,PG,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,25,4.7,12687
738,Radio Days,14792779,14792779,NA,16000000,30-Jan-87,NA,NA,Orion Pictures,Original Screenplay,Comedy,Historical Fiction,Woody Allen,95,7.5,10839
739,Radio Flyer,4651977,4651977,NA,35000000,21-Feb-92,NA,NA,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Richard Donner,43,6.5,6210
740,Reservoir Dogs,2832029,2832029,18806836,1200000,23-Oct-92,R,NA,Miramax,NA,NA,NA,Quentin Tarantino,96,8.4,212985
741,Raiders of the Lost Ark,245034358,386800358,19608618,20000000,12-Jun-81,PG,NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,NA,8.7,242661
742,Red River,9012000,9012000,NA,3000000,1948,NA,NA,NA,NA,NA,NA,Howard Hawks,100,7.8,10629
743,Reds,50000000,50000000,NA,33500000,4-Dec-81,NA,NA,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94,7.4,8455
744,Le Violon rouge,10019109,10019109,NA,10000000,11-Jun-99,R,NA,Lionsgate,Original Screenplay,Drama,Historical Fiction,NA,NA,7.7,14545
745,Red Sonja,6905861,6905861,NA,17900000,28-Jun-85,NA,NA,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20,4.4,11896
746,Star Wars Ep. VI: Return of the Jedi,309205079,572700000,12356425,32500000,25-May-83,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Richard Marquand,NA,NA,NA
747,The Return,501752,2658490,NA,15000000,6-Feb-04,PG-13,NA,Kino International,NA,Drama,NA,NA,NA,2.3,236
748,The Rise and Fall of Miss Thang,401,401,NA,10000,14-Aug-08,Not Rated,87,Lavender House Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,NA,NA
749,Roger & Me,6706368,6706368,NA,140000,20-Dec-89,NA,NA,Warner Bros.,Based on Real Life Events,Documentary,Factual,Michael Moore,100,7.5,14883
750,The Right Stuff,21500000,21500000,NA,27000000,21-Oct-83,NA,NA,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97,7.9,24275
751,The Rocky Horror Picture Show,139876417,139876417,NA,1200000,26-Sep-75,NA,NA,20th Century Fox,NA,Musical,NA,NA,77,7.1,41265
752,Road House,30050028,30050028,NA,10000000,19-May-89,NA,NA,United Artists,Original Screenplay,Action,Contemporary Fiction,NA,44,5.8,14085
753,Romeo Is Bleeding,3275585,3275585,NA,10000000,4-Feb-94,R,NA,Gramercy,Original Screenplay,Drama,Contemporary Fiction,NA,24,6.3,6537
754,Rocky,117235147,225000000,NA,1000000,21-Nov-76,NA,NA,MGM,NA,NA,NA,John G. Avildsen,NA,4,84
755,Return of the Living Dead Part II,9205924,9205924,NA,6200000,15-Jan-88,NA,NA,Lorimar Motion Pictures,NA,Horror,Fantasy,NA,NA,5.1,4661
756,The R.M.,1111615,1111615,NA,500000,31-Jan-03,PG,NA,Halestone,Original Screenplay,Comedy,Contemporary Fiction,NA,64,5.5,449
757,Renaissance Man,24172899,24172899,NA,40000000,3-Jun-94,PG-13,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Penny Marshall,NA,5.9,7650
758,Rambo: First Blood Part II,150415432,300400000,NA,44000000,22-May-85,R,NA,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548
759,Rambo III,53715611,188715611,NA,58000000,25-May-88,NA,NA,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,NA,36,4.9,31551
760,Romeo+Juliet,46338728,147542381,NA,14500000,1-Nov-96,PG-13,120,20th Century Fox,Based on Play,Drama,Contemporary Fiction,Baz Luhrmann,NA,6.5,78
761,Rain Man,172825435,412800000,NA,25000000,16-Dec-88,NA,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87,8,106163
762,Rapa Nui,305070,305070,NA,20000000,11-Sep-94,NA,NA,NA,NA,NA,NA,Kevin Reynolds,NA,6.1,2081
763,Roar,2000000,2000000,NA,17000000,1981,NA,NA,NA,NA,NA,NA,NA,NA,5.9,228
764,The Robe,36000000,36000000,NA,5000000,16-Sep-53,NA,NA,NA,NA,NA,NA,NA,38,6.7,2913
765,The Rock,134069511,336069511,NA,75000000,7-Jun-96,R,136,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324
766,The Remains of the Day,22954968,63954968,NA,15000000,5-Nov-93,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97,7.9,21736
767,Airplane!,83453539,83453539,NA,3500000,4-Jul-80,NA,NA,NA,Original Screenplay,Comedy,NA,Jerry Zucker,98,7.8,57000
768,Repo Man,2300000,2300000,NA,1500000,2-Mar-84,NA,NA,Universal,Original Screenplay,Comedy,Science Fiction,NA,97,6.7,12438
769,Rocket Singh: Salesman of the Year,164649,5348767,NA,1070000,11-Dec-09,NA,NA,Yash Raj Films,NA,NA,NA,NA,NA,7.5,1436
770,Raise the Titanic,7000000,7000000,NA,40000000,1-Aug-80,PG,NA,NA,NA,NA,NA,NA,60,3.9,1757
771,Restoration,4100000,4100000,NA,18000000,29-Dec-95,R,NA,Miramax,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.5,4024
772,The Return of the Living Dead,14237880,14237880,NA,4000000,16-Aug-85,NA,NA,Orion Pictures,NA,Horror,Science Fiction,NA,88,7.1,13621
773,Return to the Land of Wonders,1338,1338,NA,5000,13-Jul-05,Not Rated,NA,Arab Film Distribution,NA,Documentary,Factual,NA,NA,8.5,35
774,Return to Oz,10618813,10618813,NA,27000000,21-Jun-85,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,NA,55,6.7,7491
775,The Running Man,38122000,38122000,NA,30000000,13-Nov-87,NA,NA,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63,6.4,36308
776,Run Lola Run,7267324,14533173,NA,1750000,18-Jun-99,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,NA,6,91
777,Revolution#9,9118,9118,NA,350000,15-Nov-02,NA,NA,NA,NA,Thriller/Suspense,NA,NA,NA,7.3,252
778,The River Wild,46815000,94215000,NA,45000000,30-Sep-94,PG-13,NA,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285
779,Se7en,100125643,328125643,NA,30000000,22-Sep-95,R,NA,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,NA,8.7,278918
780,Safe Men,21210,21210,NA,1000000,7-Aug-98,R,NA,October Films,NA,NA,NA,NA,58,5.9,1743
781,Secrets & Lies,13417292,13417292,NA,4500000,28-Sep-96,R,NA,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94,7.9,14364
782,Sgt. Bilko,30356589,37956589,NA,39000000,29-Mar-96,PG,93,Universal,Based on TV,Comedy,Contemporary Fiction,NA,33,5.2,9693
783,Sabrina,53458319,87100000,NA,58000000,15-Dec-95,PG,NA,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,61,6,15749
784,Subway,390659,1663296,NA,2000000,6-Nov-85,NA,NA,Island/Alive,Original Screenplay,Drama,Contemporary Fiction,Luc Besson,86,6.2,5904
785,School Daze,14545844,14545844,NA,6000000,12-Feb-88,NA,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,58,5.3,2667
786,Scarface,44942821,44942821,15386092,25000000,9-Dec-83,Not Rated,NA,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88,8.2,152262
787,Schindler's List,96067179,321200000,NA,25000000,15-Dec-93,R,NA,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97,8.9,276283
788,A Streetcar Named Desire,8000000,8000000,NA,1800000,18-Sep-51,NA,NA,Warner Bros.,Based on Play,NA,NA,Elia Kazan,NA,8.1,33781
789,Shadow Conspiracy,2154540,2154540,NA,45000000,31-Jan-97,R,NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,George P. Cosmatos,NA,4.7,2427
790,Short Cut to Nirvana: Kumbh Mela,381225,439651,NA,200000,22-Oct-04,Not Rated,NA,Mela Films,Based on Real Life Events,Documentary,Factual,NA,75,6.9,105
791,Spartacus,30000000,60000000,NA,12000000,7-Oct-60,NA,NA,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96,8,50856
792,Sunday,410919,450349,NA,450000,22-Aug-97,NA,NA,NA,NA,Drama,NA,NA,79,6.9,436
793,She Done Him Wrong,2000000,2000000,NA,200000,9-Feb-33,NA,NA,NA,NA,NA,NA,NA,100,6.7,1795
794,State Fair,3500000,3500000,NA,4500000,9-Mar-62,NA,NA,NA,NA,NA,NA,NA,14,5.7,436
795,Sticky Fingers of Time,18195,20628,NA,250000,8-Jan-99,NA,NA,Strand,NA,Thriller/Suspense,NA,NA,NA,NA,NA
796,She's Gotta Have It,7137502,7137502,NA,175000,8-Aug-86,NA,NA,Island,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,93,6.2,2594
797,Stargate,71565669,196565669,NA,55000000,28-Oct-94,PG-13,NA,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174
798,The Shadow,31835600,31835600,NA,40000000,1-Jul-94,PG-13,NA,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530
799,Show Boat,11000000,11000000,NA,2300000,24-Sep-51,NA,NA,NA,NA,NA,NA,NA,89,6.9,1788
800,Shadowlands,25842377,25842377,NA,22000000,29-Dec-93,R,NA,Savoy,Based on Play,Drama,Dramatization,Sir Richard Attenborough,96,7.4,7689
801,Shanghai Surprise,2315000,2315000,NA,17000000,29-Aug-86,NA,NA,MGM,NA,NA,NA,NA,14,2.6,2591
802,Shalako,2620000,2620000,NA,1455000,1968,NA,NA,NA,NA,NA,NA,NA,NA,5.3,1090
803,Sheena,5778353,5778353,NA,25000000,17-Aug-84,NA,NA,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38,4.3,1598
804,Shine,35811509,35811509,NA,5500000,22-Nov-96,PG-13,105,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90,7.6,22439
805,The Shining,44017374,44017374,NA,19000000,23-May-80,NA,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762
806,Haakon Haakonsen,15024232,15024232,NA,8500000,1-Mar-91,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,NA,NA,6.4,1125
807,Ishtar,14375181,14375181,NA,40000000,15-May-87,NA,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,19,3.7,6094
808,Showgirls,20254932,20254932,NA,40000000,22-Sep-95,NC-17,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12,4.1,27004
809,The Shawshank Redemption,28241469,28241469,NA,25000000,23-Sep-94,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541
810,Silver Bullet,10803211,10803211,NA,7000000,11-Oct-85,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,50,5.9,6387
811,Side Effects,44701,44701,NA,200000,9-Sep-05,R,NA,Sky Island,Original Screenplay,Romantic Comedy,NA,NA,11,NA,NA
812,Set It Off,36049108,36049108,NA,9000000,6-Nov-96,R,120,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61,6.3,4570
813,The Silence of the Lambs,130726716,275726716,NA,20000000,14-Feb-91,NA,NA,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856
814,Silent Trigger,76382,76382,NA,15000000,26-Jun-96,NA,NA,NA,NA,NA,NA,Russell Mulcahy,NA,5.2,1364
815,Thinner,15171475,15171475,NA,14000000,25-Oct-96,R,93,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,18,5.3,7888
816,Sling Blade,24475416,34175000,NA,4833610,20-Nov-96,R,133,Miramax,Based on Short Film,Drama,Contemporary Fiction,NA,96,8,41785
817,Slacker,1227508,1227508,NA,23000,1-Aug-91,NA,NA,NA,NA,NA,NA,Richard Linklater,83,6.9,5907
818,Some Like it Hot,25000000,25000000,NA,2883848,29-Mar-59,NA,NA,NA,NA,NA,NA,Billy Wilder,97,8.3,67157
819,The Scarlet Letter,10359006,10359006,NA,50000000,13-Oct-95,R,NA,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15,4.6,6155
820,Silmido,298347,30298347,NA,8500000,23-Apr-04,Not Rated,NA,Cinema Service,NA,Action,NA,NA,NA,7.1,1724
821,Sleeper,18344729,18344729,NA,2000000,17-Dec-73,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,100,7.3,15466
822,Sleepers,53300852,165600852,NA,44000000,18-Oct-96,R,105,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73,7.3,51874
823,The Slaughter Rule,13134,13134,NA,500000,10-Jan-03,R,NA,NA,NA,NA,NA,NA,NA,6,1136
824,Solomon and Sheba,11000000,11000000,NA,5000000,1-Jan-59,NA,NA,NA,NA,NA,NA,King Vidor,NA,6,915
825,Sur Le Seuil,2013052,2013052,NA,2500000,3-Oct-03,Not Rated,NA,Alliance,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,6.7,585
826,The Usual Suspects,23341568,23341568,NA,6000000,16-Aug-95,R,NA,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87,8.7,266890
827,Silverado,33200000,33200000,NA,26000000,10-Jul-85,NA,NA,Sony/Columbia,Original Screenplay,Western,Historical Fiction,Lawrence Kasdan,76,7,14243
828,Salvador,1500000,1500000,NA,4500000,23-Apr-86,NA,NA,Hemdale,Original Screenplay,Drama,NA,NA,91,7.5,7797
829,"Sex, Lies, and Videotape",24741667,36741667,NA,1200000,4-Aug-89,NA,NA,Miramax,NA,NA,NA,Steven Soderbergh,97,NA,NA
830,Simon,4055,4055,NA,1300000,7-Apr-06,NA,NA,Strand,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,8,4873
831,Super Mario Bros.,20844907,20844907,NA,42000000,28-May-93,NA,NA,Walt Disney Pictures,Based on Game,Action,Fantasy,NA,NA,3.8,17281
832,Somewhere in Time,9709597,9709597,NA,5100000,3-Oct-80,NA,NA,Universal,Based on Book/Short Story,Drama,Fantasy,NA,63,7,8787
833,Smoke Signals,6719300,7756617,NA,2000000,26-Jun-98,PG-13,NA,Miramax,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,86,6.9,5058
834,Serial Mom,7881335,7881335,NA,13000000,13-Apr-94,R,NA,Savoy,Original Screenplay,Comedy,Contemporary Fiction,John Waters,61,6.4,10999
835,Sommersturm,95204,95204,NA,3000000,17-Mar-06,R,NA,Regent Releasing,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.6,5251
836,Silent Movie,36145695,36145695,NA,4400000,25-Jun-76,NA,NA,20th Century Fox,Original Screenplay,Comedy,NA,Mel Brooks,89,6.4,6248
837,The Santa Clause,144833357,189800000,NA,22000000,11-Nov-94,PG,NA,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773
838,The Singles Ward,1250798,1250798,NA,500000,1-Feb-02,PG,NA,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,NA,50,5.7,736
839,Sense and Sensibility,42993774,134993774,NA,16500000,11-Dec-95,PG,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,98,7.7,31279
840,Singin' in the Rain,3600000,3600000,NA,2540000,10-Apr-52,NA,NA,MGM,NA,NA,NA,Stanley Donen,100,8.4,55352
841,Solitude,6260,6260,NA,200000,7-Jan-05,Not Rated,NA,Indican Pictures,Original Screenplay,Drama,NA,NA,NA,4.8,82
842,The Sound of Music,163214286,286214286,NA,8200000,"April, 1965",NA,NA,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81,6.3,45
843,She's the One,9482579,13795053,NA,3500000,23-Aug-96,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Edward Burns,60,6,8159
844,Straight out of Brooklyn,2712293,2712293,NA,450000,1991,NA,NA,NA,NA,NA,NA,NA,100,5.6,263
845,Spaceballs,38119483,38119483,NA,22700000,24-Jun-87,NA,NA,MGM,Original Screenplay,Comedy,Science Fiction,Mel Brooks,65,6.9,52434
846,Speed,121248145,283200000,NA,30000000,10-Jun-94,R,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90,2.6,4175
847,Species,60054449,113354449,NA,35000000,7-Jul-95,R,NA,MGM,Original Screenplay,Action,Science Fiction,Roger Donaldson,39,5.6,21917
848,Sphinx,2000000,11400000,NA,10000000,11-Feb-81,NA,NA,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Franklin J. Schaffner,NA,4.9,478
849,Spaced Invaders,15000000,15000000,NA,3000000,27-Apr-90,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Science Fiction,Patrick Read Johnson,9,4.8,1464
850,Spellbound,7000000,7000000,NA,1500000,1945,G,NA,ThinkFilm,NA,NA,NA,Alfred Hitchcock,87,7.7,14665
851,Splash,62599495,62599495,NA,8000000,9-Mar-84,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Ron Howard,91,6.2,21732
852,Superman IV: The Quest for Peace,11227824,11227824,NA,17000000,24-Jul-87,NA,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Sidney J. Furie,NA,3.4,15164
853,Superman II,108185706,108185706,NA,50000000,19-Jun-81,NA,NA,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,NA,6.7,29512
854,Superman III,59950623,59950623,NA,39000000,17-Jun-83,NA,NA,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,NA,23,4.7,18070
855,Sparkler,5494,5494,NA,1000000,19-Mar-99,R,NA,Strand,NA,NA,NA,NA,17,5.5,320
856,Superman,134218018,300200000,NA,55000000,15-Dec-78,PG,NA,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94,4.9,129
857,The Specialist,57362581,57362581,NA,45000000,7-Oct-94,R,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,4,4.9,18749
858,The Sorcerer,12000000,12000000,NA,21600000,24-Jun-77,NA,NA,NA,NA,NA,NA,William Friedkin,NA,6.8,563
859,Sisters in Law,33312,33312,NA,300000,12-Apr-06,Not Rated,NA,Women Make Movies,Based on Real Life Events,Documentary,Factual,NA,NA,6.7,203
860,Smilla's Sense of Snow,2221994,2221994,NA,35000000,28-Feb-97,R,NA,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Bille August,53,6.1,7280
861,Assassins,30306268,83306268,NA,50000000,6-Oct-95,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,9,5.9,23370
862,Star Trek: The Motion Picture,82258456,139000000,NA,35000000,7-Dec-79,PG,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,Robert Wise,48,6.2,25454
863,Star Trek III: The Search for Spock,76471046,87000000,NA,18000000,1-Jun-84,NA,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,NA,6.5,22261
864,Star Trek IV: The Voyage Home,109713132,133000000,NA,24000000,26-Nov-86,NA,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,NA,7.3,26207
865,Stand by Me,52287414,52287414,NA,8000000,8-Aug-86,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Rob Reiner,94,8.2,90143
866,Stone Cold,9286314,9286314,NA,25000000,17-May-91,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,NA,29,4.6,52
867,The Stewardesses,13500000,25000000,NA,200000,25-Jul-69,NA,NA,NA,NA,NA,NA,NA,NA,4.3,86
868,Street Fighter,33423000,99423000,NA,35000000,23-Dec-94,PG-13,NA,Universal,Based on Game,Action,Contemporary Fiction,NA,13,3.3,25407
869,Star Trek II: The Wrath of Khan,79912963,96800000,NA,12000000,4-Jun-82,PG,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,NA,NA,7.8,36131
870,Steal (Canadian Release),220944,220944,NA,15000000,25-Apr-03,Not Rated,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,The Sting,159616327,159616327,NA,5500000,25-Dec-73,NA,NA,Universal,Original Screenplay,NA,Historical Fiction,George Roy Hill,91,8.4,65866
872,Stonewall,304602,304602,NA,2000000,26-Jul-96,R,99,Strand,Based on Real Life Events,Drama,Dramatization,NA,NA,7,741
873,Star Trek V: The Final Frontier,52210049,70200000,NA,30000000,9-Jun-89,NA,NA,Paramount Pictures,Based on TV,Action,Science Fiction,NA,NA,5,20600
874,Star Trek VI: The Undiscovered Country,74888996,96900000,NA,27000000,6-Dec-91,NA,NA,Paramount Pictures,Based on TV,Action,Science Fiction,NA,NA,7.2,23546
875,Star Trek: Generations,75671262,120000000,NA,38000000,18-Nov-94,PG,NA,Paramount Pictures,Based on TV,Adventure,Science Fiction,NA,NA,6.5,26465
876,Stripes,85300000,85300000,NA,10000000,26-Jun-81,R,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,88,6.8,19618
877,Striptease,32773011,32773011,NA,50000000,28-Jun-96,R,115,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Andrew Bergman,12,3.9,18012
